property_name,areaWithType,square_feet,transaction,status,floor,furnishing,price_per_sqft,num_floor,price_lakh,bhk
2 BHK Apartment for Sale in Dindoli Surat,Carpet Area,644.0,New Property,Possession,5,Unfurnished,2891.0,10,33.8,2.0
2 BHK Apartment for Sale in Althan Surat,Super Area,1278.0,New Property,Possession,6,Unfurnished,3551.0,14,45.4,2.0
2 BHK Apartment for Sale in Pal Gam Surat,Super Area,1173.0,Resale,Ready to Move,5,Semi-Furnished,3800.0,13,44.6,2.0
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,700.0,New Property,Ready to Move,6,Unfurnished,3966.0,14,47.0,2.0
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,720.0,New Property,Possession,3,Unfurnished,3200.0,14,40.0,2.0
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,748.0,New Property,Possession,6,Unfurnished,3235.0,13,44.0,2.0
1 BHK  House for Sale in Kim Surat,Carpet Area,480.0,Resale,Ready to Move,1,Unfurnished,2315.0,1,12.5,1.0
2 BHK Apartment for Sale in NavYug College Surat,Carpet Area,1650.0,Resale,Ready to Move,7,Unfurnished,3125.0,10,50.0,2.0
2 BHK Apartment for Sale in Adajan Surat,Super Area,847.0,Resale,Ready to Move,1,Furnished,5903.0,13,50.0,2.0
3 BHK Apartment for Sale in Dindoli Surat,Super Area,1511.0,New Property,Possession,5,Unfurnished,2368.0,13,35.8,3.0
3 BHK Apartment for Sale in Mota Varachha Surat,Carpet Area,1000.0,New Property,Ready to Move,3,Furnished,3185.0,5,43.0,3.0
1 BHK Apartment for Sale in Ramnagar Surat,Carpet Area,731.0,Resale,Ready to Move,2,Unfurnished,2736.0,5,20.0,1.0
2 BHK Builder Floor for Sale in Amroli Surat,Carpet Area,950.0,Resale,Ready to Move,5,Unfurnished,2829.0,5,29.0,2.0
1 BHK  House for Sale in Palsana Surat,Carpet Area,432.0,New Property,Ready to Move,0,Unfurnished,3009.0,1,13.0,1.0
3 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,910.0,Resale,Ready to Move,1,Unfurnished,2857.0,5,40.0,3.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1250.0,New Property,Ready to Move,7,Unfurnished,3325.0,14,41.6,2.0
2 BHK Apartment for Sale in Shivalik Height Surat,Super Area,1105.0,Resale,Ready to Move,9,Unfurnished,3842.0,14,42.5,2.0
2 BHK Apartment for Sale in Althan Surat,Super Area,1305.0,New Property,Possession,5,Unfurnished,3678.0,12,48.0,2.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1290.0,Resale,Ready to Move,5,Furnished,3488.0,13,45.0,2.0
2 BHK Apartment for Sale in Bamroli Surat,Super Area,975.0,New Property,Possession,6,Unfurnished,3282.0,13,32.0,2.0
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1250.0,New Property,Ready to Move,7,Unfurnished,2800.0,14,35.0,2.0
2 BHK Apartment for Sale in Godadara Surat,Carpet Area,725.0,New Property,Possession,7,Unfurnished,3500.0,14,46.2,2.0
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1558.0,Resale,Ready to Move,1,Unfurnished,3017.0,5,47.0,3.0
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,727.0,New Property,Ready to Move,7,Unfurnished,3075.0,13,38.5,2.0
1 BHK Apartment for Sale in Jahangirabad Surat,Super Area,735.0,Resale,Ready to Move,12,Unfurnished,3810.0,14,28.0,1.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1326.0,Resale,Ready to Move,9,Unfurnished,3771.0,14,50.0,2.0
